20	22	85	6	48	64
68	67	65	85	25	63
57	2	22	63	17	78
2	29	77	2	39	2
42	48	22	22	22	47
50	4	75	13	73	17
85	23	60	64	97	15
26	94	38	28	38	38
56	23	88	57	53	1
20	70	20	2	75	20
13	10	86	24	24	24
57	92	27	73	7	64
3	44	76	67	46	6
12	58	33	3	19	6
60	13	65	76	43	59
30	55	50	82	38	67
96	76	93	96	87	88
83	75	73	34	93	38
16	72	16	93	23	16
43	42	14	98	98	86
68	5	82	13	16	20
33	41	41	34	41	23
4	49	50	60	43	100
66	94	14	50	18	19
52	90	47	31	18	45
53	42	42	27	31	42
88	43	100	84	75	89
82	47	69	77	26	78
38	38	38	75	81	92
5	69	35	73	75	97
52	21	63	65	96	75
94	95	15	29	39	43
49	75	91	86	49	49
49	53	39	60	76	86
90	12	49	76	70	69
11	21	11	55	11	57
70	80	24	16	16	16
31	16	25	36	14	90
61	92	92	95	85	27
53	26	23	73	82	40
82	7	33	67	80	51
37	22	30	30	30	53
7	4	17	35	35	35
75	51	85	32	92	12
62	47	81	24	24	24
41	45	86	47	4	75
53	77	78	60	72	35
36	61	22	46	29	22
34	8	45	75	70	52
4	6	4	33	44	4
35	99	10	12	69	73
36	83	25	36	64	12
6	39	39	39	38	2
71	19	77	26	83	76
98	31	76	93	70	38
28	20	20	58	65	59
2	78	2	21	2	68
33	86	59	53	63	91
8	99	8	32	6	49
18	86	75	98	71	3
42	42	4	3	76	96
76	67	19	95	98	85
46	97	16	99	16	16
92	66	82	68	24	92
21	20	86	74	21	21
42	83	48	55	16	54
84	98	64	99	22	7
95	18	37	86	72	73
85	76	26	67	27	30
53	39	55	33	33	33
83	60	23	62	11	70
51	83	92	41	39	79
33	84	46	47	18	16
13	13	76	21	13	64
6	48	11	55	82	18
39	54	28	28	28	2
10	67	5	58	26	87
11	64	11	11	86	54
45	19	77	74	5	12
32	90	13	13	13	57
32	32	61	39	32	40
82	17	79	75	99	43
24	79	22	3	56	73
30	76	53	64	61	69
16	7	7	80	73	7
47	97	24	71	41	94
83	41	44	65	25	60
95	21	21	2	29	21
74	43	12	12	86	69
59	70	29	29	72	29
96	9	46	32	3	57
15	13	27	7	58	92
58	36	46	15	33	43
83	43	98	79	69	15
99	68	53	92	4	84
76	23	87	75	33	39
55	22	89	13	25	29
88	47	21	11	29	96
45	21	21	21	61	78
59	33	33	15	33	77
5	32	2	90	32	32
33	9	18	29	31	22
8	8	45	8	53	43
21	62	21	9	21	33
92	44	41	80	44	44
3	93	34	72	71	83
54	64	75	98	49	48
8	79	8	8	85	63
63	79	21	82	85	23
19	86	41	19	19	91
85	78	20	93	32	90
13	24	74	24	24	4
58	30	30	89	30	88
4	33	20	17	41	48
50	79	56	75	7	18
99	85	6	95	77	8
72	92	37	48	31	100
85	32	32	68	32	6
8	80	94	56	58	81
2	63	47	86	39	61
38	3	11	90	99	1
57	81	47	47	47	28
31	94	58	23	49	94
32	48	52	57	32	32
82	30	30	97	30	40
12	53	67	12	12	86
48	84	22	79	5	24
90	55	43	76	11	46
91	23	23	6	23	19
8	98	75	26	71	74
9	15	99	71	68	43
55	40	98	12	38	61
65	33	78	79	59	35
5	5	72	52	5	83
58	11	45	15	97	15
59	75	43	80	92	80
3	25	3	62	3	14
